VendorNumber,Brand,Price,PurchasePrice,Total_Sales_Quantity,Total_Sale_Price,Total_Purchase_Quantity,Total_Purchase_Dollars,Total_Freight_Cost
8320,58,12.99,9.28,3446.0,28145.64,69127.0,624979.64,3151.92
1128,62,36.99,28.67,3125.0,90154.51000000001,1006122.0,13529433.08,68601.68
1128,63,38.99,30.46,2778.0,88553.1,1006122.0,13529433.08,68601.68
9165,72,34.99,26.11,469.0,12626.570000000002,1077527.0,13210613.93,68054.7
7245,75,14.99,10.94,21.0,134.91,682042.0,7588029.9,38994.78
7245,77,12.99,10.39,10429.0,85655.8,682042.0,7588029.9,38994.78
7245,79,14.99,9.62,5686.0,57811.51,682042.0,7588029.9,38994.78
8112,115,27.99,21.37,10255.0,136171.35,427867.0,9472995.2,48347.26
480,126,32.99,20.14,58013.0,294049.49,1427075.0,17624378.72,89286.27
7245,168,12.99,8.95,2631.0,23359.64,682042.0,7588029.9,38994.78
1128,171,49.99,36.76,6590.0,236839.04,1006122.0,13529433.08,68601.68
12546,173,22.99,14.7,1519.0,21299.35,2737165.0,24203151.05,123880.97
7245,175,36.99,26.8,722.0,24564.15,682042.0,7588029.9,38994.78
11567,178,29.99,20.76,2509.0,59336.229999999996,501284.0,4141720.71,20964.81
3664,192,35.99,27.68,1354.0,37807.83,302685.0,5960744.35,30234.420000000002
4425,211,24.99,19.83,2492.0,54607.63,2640411.0,27861690.02,144929.24
12546,229,12.99,10.39,12.0,104.93,2737165.0,24203151.05,123880.97
3664,233,46.99,30.21,1077.0,39019.96,302685.0,5960744.35,30234.420000000002
9165,247,199.99,156.24,129.0,21078.95,1077527.0,13210613.93,68054.7
12546,254,10.99,8.79,431.0,3857.4900000000002,2737165.0,24203151.05,123880.97
1392,261,12.99,9.99,330.0,2572.02,2325892.0,15573917.9,79528.99
12546,273,21.99,17.31,10442.0,131726.72,2737165.0,24203151.05,123880.97
3664,283,61.99,39.69,501.0,21872.12,302685.0,5960744.35,30234.420000000002
3664,284,77.99,53.43,445.0,30227.079999999998,302685.0,5960744.35,30234.420000000002
9552,294,8.49,6.79,3483.0,3200.73,1372841.0,10935817.3,55551.82
3960,305,27.99,22.21,8826.0,139698.09,5459788.0,50959796.85,257032.07
5992,323,13.99,10.6,648.0,6596.59,29788.0,310552.87,1567.85
9165,344,19.99,15.74,774.0,12893.55,1077527.0,13210613.93,68054.7
12546,361,19.99,14.28,6292.0,88348.26,2737165.0,24203151.05,123880.97
11567,376,26.99,18.97,4126.0,81277.76,501284.0,4141720.71,20964.81
8112,384,74.99,54.68,576.0,32515.46,427867.0,9472995.2,48347.26
3960,388,14.49,11.41,9362.0,59916.15,5459788.0,50959796.85,257032.07
11567,408,16.99,12.97,8720.0,114513.60999999999,501284.0,4141720.71,20964.81
7245,415,20.99,13.04,14561.0,139974.0,682042.0,7588029.9,38994.78
17035,419,21.99,15.99,2811.0,35290.92,1647558.0,24124091.56,123780.22
8112,425,799.99,620.15,18.0,14399.82,427867.0,9472995.2,48347.26
9165,426,7.99,6.29,6835.0,27485.600000000002,1077527.0,13210613.93,68054.7
7153,435,17.99,12.79,7807.0,83425.01,424427.0,3129071.59,15884.82
4425,438,19.99,12.77,6381.0,77743.54,2640411.0,27861690.02,144929.24
480,443,33.99,24.45,7705.0,171470.85,1427075.0,17624378.72,89286.27
4425,450,24.99,19.52,2075.0,37584.96,2640411.0,27861690.02,144929.24
653,463,33.99,24.63,2070.0,57706.810000000005,154092.0,1529682.04,8014.9800000000005
17035,482,21.99,14.28,27866.0,198436.06,1647558.0,24124091.56,123780.22
3960,485,12.99,10.39,1474.0,11872.86,5459788.0,50959796.85,257032.07
3960,497,19.99,14.7,29238.0,145247.34,5459788.0,50959796.85,257032.07
